Institution,Institution_Country,Institution_State,Institution_Region_Census,Institution_Division_Census,Region (https://www.aamc.org/career-development/affinity-groups/gsa/member-schools-region#negsa)
University of Virginia School of Medicine,USA,Virginia,3 - SOUTH,5 - SOUTH ATLANTIC,
Edward Via College of Osteopathic Medicine (VCOM),USA,Virginia,3 - SOUTH,5 - SOUTH ATLANTIC,
University of Washington (state) School of Med,USA,Washington,4 - WEST,9 - PACIFIC,
West Virginia University School of Medicine,USA,West Virginia,3 - SOUTH,5 - SOUTH ATLANTIC,
Alderson Broaddus College,USA,West Virginia,3 - SOUTH,5 - SOUTH ATLANTIC,
West Virginia School of Osteopathic Medicine,USA,West Virginia,3 - SOUTH,5 - SOUTH ATLANTIC,
University of Wisconsin Medical School,USA,Wisconsin,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Sahlgrenska Academy at University of Gothenburg,Sweden,NA,NA,NA,NA
Marquette University,USA,Wisconsin,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Medical College of Wisconsin,USA,Wisconsin,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
